Grain,Time Period,Linear_AIC,Linear_Pvals,2_AIC,2_Pvals,3_AIC,3_Pvals,Log_AIC,Log_Pvals,Log_Linear_AIC,Log_Linear_Pvals,Log_2_AIC,Log_2_Pvals,Log_3_AIC,Log_3_Pvals,Log_Log_AIC,Log_Log_Pvals,"rep(buf, nrow(final))",,Mins ,2nd Smallest,Dif ,,,,
millet,p_harv,19255.15138,TRUE,19252.78027,TRUE,19248.14019,TRUE,19257.58722,TRUE,-1043.001793,TRUE,-1085.853133,TRUE,-1111.958202,TRUE,-1155.578523,TRUE,1,,-1155.578523,-1111.958202,-43.62032057,0.00,,,
millet,p_sup,22030.50182,TRUE,22027.08327,TRUE,22006.17902,TRUE,22056.07638,TRUE,-974.093715,TRUE,-983.3400737,TRUE,-1014.587918,TRUE,-986.9695036,TRUE,1,,-1014.587918,-983.3400737,-31.24784432,0.00,,,
millet,p_onemonth,21622.78825,FALSE,21619.50425,TRUE,21615.32586,TRUE,21620.26212,FALSE,-964.7785359,FALSE,-968.7241231,TRUE,-969.0298312,FALSE,-961.0035766,FALSE,1,,-968.7241231,-964.7785359,-3.945587204,13.91,,,
maize,p_sow,38286.18389,TRUE,38179.6887,TRUE,38181.28462,FALSE,38195.58535,TRUE,-5679.756891,TRUE,-5724.643602,TRUE,-5727.607549,TRUE,-5697.416088,TRUE,1,,-5727.607549,-5724.643602,-2.963947321,22.72,,,
maize,p_grow,38224.46649,FALSE,38165.93701,TRUE,38145.84247,TRUE,38218.4502,TRUE,-6260.925861,TRUE,-6288.074665,TRUE,-6313.101436,TRUE,-6291.355585,TRUE,1,,-6313.101436,-6291.355585,-21.74585041,0.00,,,
maize,p_harv,41478.90809,TRUE,41469.05447,TRUE,41308.68443,TRUE,41251.59116,TRUE,-6212.248031,TRUE,-6210.718514,FALSE,-6401.400656,TRUE,-6581.106825,TRUE,1,,-6581.106825,-6401.400656,-179.7061689,0.00,,,
maize,p_sup,46241.09904,FALSE,46242.72388,FALSE,46244.35086,FALSE,46242.2873,FALSE,-6867.621732,FALSE,-6867.156497,FALSE,-6866.404322,FALSE,-6865.851682,FALSE,1,,-6867.621732,-6867.156497,-0.465234508,79.25,,,
maize,p_onemonth,51718.0986,FALSE,51709.73315,TRUE,51704.85475,FALSE,51718.3362,FALSE,-7164.21086,FALSE,-7190.36677,TRUE,-7197.620615,FALSE,-7163.727474,FALSE,1,,-7197.620615,-7190.36677,-7.253844845,2.66,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
sorghum,p_sow,19050.60129,TRUE,18916.00682,TRUE,18847.08536,TRUE,19439.6005,TRUE,149.195368,TRUE,151.047888,FALSE,112.6144397,TRUE,396.6356766,TRUE,2,,112.6144397,149.195368,-36.58092823,0.00,,,
sorghum,p_grow,18147.0132,TRUE,18106.67295,TRUE,17821.49723,TRUE,18424.80333,TRUE,644.4759537,TRUE,603.9021916,TRUE,354.597834,TRUE,686.4546284,FALSE,2,,354.597834,603.9021916,-249.3043576,0.00,,,
sorghum,p_harv,17225.61068,FALSE,17217.41435,TRUE,17165.0383,TRUE,17207.37043,TRUE,385.13637,TRUE,324.1857409,TRUE,221.2387342,TRUE,330.1358939,TRUE,2,,221.2387342,324.1857409,-102.9470067,0.00,,,
sorghum,p_sup,20118.76592,TRUE,20096.09731,TRUE,20081.20332,TRUE,20105.08571,TRUE,835.8572727,TRUE,821.8868286,TRUE,778.0184883,TRUE,786.9837239,TRUE,2,,778.0184883,786.9837239,-8.965235622,1.13,,,
sorghum,p_onemonth,21264.00051,FALSE,21266.00025,FALSE,21200.49713,TRUE,21237.36116,TRUE,899.9819567,TRUE,882.8563892,TRUE,790.9016667,TRUE,829.0732327,TRUE,2,,790.9016667,829.0732327,-38.17156598,0.00,,,
millet,p_sow,15496.07745,TRUE,15489.862,TRUE,15476.86045,TRUE,15462.01019,TRUE,-1261.029262,TRUE,-1304.350836,TRUE,-1317.820693,TRUE,-1289.859043,TRUE,2,,-1304.350836,-1289.859043,-14.49179324,0.07,,,
millet,p_grow,19719.1638,TRUE,19716.71709,FALSE,19712.0487,FALSE,19712.79292,TRUE,-1170.860541,TRUE,-1173.868184,TRUE,-1182.990324,TRUE,-1186.723344,TRUE,2,,-1186.723344,-1182.990324,-3.733020183,15.47,,,
millet,p_harv,19230.29677,TRUE,19228.51636,FALSE,19224.69086,TRUE,19270.55725,TRUE,-1054.625969,TRUE,-1106.773765,TRUE,-1132.712793,TRUE,-1098.861165,TRUE,2,,-1132.712793,-1106.773765,-25.93902797,0.00,,,
millet,p_sup,22029.49621,TRUE,22022.5472,TRUE,22017.99856,TRUE,22051.0486,TRUE,-971.8209795,TRUE,-980.7492596,TRUE,-993.8544267,TRUE,-986.1472575,TRUE,2,,-993.8544267,-986.1472575,-7.707169272,2.12,,,
millet,p_onemonth,21621.55943,FALSE,21622.58199,FALSE,21617.92838,TRUE,21621.68601,FALSE,-966.576016,TRUE,-964.7732971,FALSE,-966.2411228,FALSE,-961.0195721,FALSE,2,,-966.576016,-966.2411228,-0.334893204,84.58,,,
maize,p_sow,38224.27956,TRUE,38152.46376,TRUE,38154.05583,FALSE,38169.31095,TRUE,-5733.74063,TRUE,-5757.222977,TRUE,-5758.600917,FALSE,-5720.591918,TRUE,2,,-5758.600917,-5757.222977,-1.377939647,50.21,,,
maize,p_grow,38197.35853,TRUE,38191.22894,TRUE,38181.6244,TRUE,38186.40498,TRUE,-6321.361694,TRUE,-6325.347884,FALSE,-6338.509496,TRUE,-6300.363314,TRUE,2,,-6338.509496,-6325.347884,-13.16161228,0.14,,,
maize,p_harv,41409.6491,TRUE,41409.24825,FALSE,41194.20602,TRUE,41202.5819,TRUE,-6263.095742,TRUE,-6261.7054,FALSE,-6535.233115,TRUE,-6638.359216,TRUE,2,,-6638.359216,-6535.233115,-103.1261004,0.00,,,
maize,p_sup,46242.57798,FALSE,46239.7811,TRUE,46241.5562,FALSE,46241.64328,FALSE,-6866.107222,FALSE,-6869.205464,TRUE,-6868.030879,FALSE,-6866.000276,FALSE,2,,-6869.205464,-6866.107222,-3.098242316,21.24,,,
maize,p_onemonth,51718.3835,FALSE,51690.37919,TRUE,51683.48977,FALSE,51717.81819,FALSE,-7166.350339,TRUE,-7199.771366,TRUE,-7203.183114,FALSE,-7162.250056,FALSE,2,,-7203.183114,-7199.771366,-3.411747996,18.16,,,
