Grain,Time Period,Linear_AIC,Linear_Pvals,2_AIC,2_Pvals,3_AIC,3_Pvals,Log_AIC,Log_Pvals,Log_Linear_AIC,Log_Linear_Pvals,Log_2_AIC,Log_2_Pvals,Log_3_AIC,Log_3_Pvals,Log_Log_AIC,Log_Log_Pvals,"rep(buf, nrow(final))",,Min,2nd Smallest,Dif,% 2nd is better,,1st Choice,
millet,p_harv,12014.35753,TRUE,12015.72283,FALSE,11948.16149,TRUE,11939.87661,TRUE,-1104.969853,TRUE,-1103.066286,FALSE,-1162.337707,TRUE,-1230.833007,TRUE,1,,-1230.833007,-1162.337707,-68.49529994,0.00,,Log_Log,
millet,p_sup,14424.6842,TRUE,14424.79894,FALSE,14413.36657,TRUE,14410.03735,TRUE,-963.2484582,TRUE,-968.9648269,TRUE,-986.9922923,TRUE,-995.6332171,TRUE,1,,-995.6332171,-986.9922923,-8.640924776,1.33,,Log_Log,
millet,p_onemonth,12657.00797,FALSE,12656.00203,FALSE,12649.48771,TRUE,12658.57197,FALSE,-872.0421399,FALSE,-881.4480264,TRUE,-886.354185,TRUE,-875.4891942,FALSE,1,,-886.354185,-881.4480264,-4.906158613,8.60,,Log_3,
maize,p_sow,26263.48625,TRUE,26201.39109,TRUE,26203.30331,FALSE,26208.97256,TRUE,-3868.232692,TRUE,-3890.756052,TRUE,-3888.786973,FALSE,-3873.951837,TRUE,1,,-3890.756052,-3888.786973,-1.969079229,37.36,,Log_2,
maize,p_grow,26160.54137,FALSE,26149.13576,TRUE,26150.91068,FALSE,26163.4778,FALSE,-4201.068085,TRUE,-4208.045336,TRUE,-4206.448517,FALSE,-4206.623835,TRUE,1,,-4208.045336,-4206.623835,-1.421501504,49.13,,Log_2,
maize,p_harv,27794.96867,TRUE,27788.21843,TRUE,27613.32152,TRUE,27648.7148,TRUE,-4211.945671,TRUE,-4211.456415,FALSE,-4470.44699,TRUE,-4480.345755,TRUE,1,,-4480.345755,-4470.44699,-9.89876529,0.71,,Log_Log,
maize,p_sup,30982.48745,TRUE,30976.53017,TRUE,30977.21789,FALSE,30985.91231,TRUE,-4657.007744,TRUE,-4671.640868,TRUE,-4681.966943,FALSE,-4654.4778,TRUE,1,,-4671.640868,-4657.007744,-14.63312458,0.07,,Log_2,
maize,p_onemonth,32799.65872,FALSE,32801.65695,FALSE,32781.3212,TRUE,32796.75721,FALSE,-4744.00211,FALSE,-4752.050348,TRUE,-4780.693891,TRUE,-4742.270247,FALSE,1,,-4780.693891,-4752.050348,-28.64354253,0.00,,Log_3,
sorghum,p_sow,15372.71741,TRUE,15308.8194,TRUE,15254.24124,TRUE,15673.37164,TRUE,-104.6536177,TRUE,-106.3658012,FALSE,-148.9220879,TRUE,91.76183768,TRUE,2,,-148.9220879,-106.3658012,-42.55628665,0.00,,Log_3,
sorghum,p_grow,14549.34808,TRUE,14501.7409,TRUE,14296.26305,TRUE,14743.68464,TRUE,371.8711441,TRUE,314.6678919,TRUE,150.9963565,TRUE,409.4748641,FALSE,2,,150.9963565,314.6678919,-163.6715353,0.00,,Log_3,
sorghum,p_harv,13297.86698,FALSE,13299.55256,FALSE,13300.28215,FALSE,13297.8962,FALSE,106.1235017,FALSE,103.0874692,TRUE,93.48263732,TRUE,85.71992084,TRUE,2,,85.71992084,93.48263732,-7.762716484,2.06,,Log_Log,
sorghum,p_sup,15722.08662,TRUE,15701.90936,TRUE,15699.17601,TRUE,15720.48501,TRUE,486.3273605,FALSE,443.0548446,TRUE,420.4761378,TRUE,444.7471652,TRUE,2,,420.4761378,443.0548446,-22.57870677,0.00,,Log_3,
sorghum,p_onemonth,15909.40599,FALSE,15910.73038,FALSE,15869.31931,TRUE,15905.81386,TRUE,497.9996329,FALSE,484.406539,TRUE,415.9669131,TRUE,460.3252395,TRUE,2,,415.9669131,460.3252395,-44.35832639,0.00,,Log_3,
millet,p_sow,10819.1387,TRUE,10820.12701,FALSE,10822.09499,FALSE,10836.55399,TRUE,-1043.061884,TRUE,-1056.282013,TRUE,-1054.283219,FALSE,-1005.60816,TRUE,2,,-1056.282013,-1043.061884,-13.22012841,0.13,,Log_2,
millet,p_grow,13707.00298,FALSE,13708.91346,FALSE,13681.61122,TRUE,13674.55985,TRUE,-1120.66944,TRUE,-1126.754284,TRUE,-1162.597589,TRUE,-1188.327563,TRUE,2,,-1188.327563,-1162.597589,-25.72997455,0.00,,Log_Log,
millet,p_harv,12506.16702,TRUE,12508.10044,FALSE,12441.36682,TRUE,12451.81007,TRUE,-1157.733584,TRUE,-1161.260286,TRUE,-1224.729453,TRUE,-1254.567822,TRUE,2,,-1254.567822,-1224.729453,-29.83836952,0.00,,Log_Log,
millet,p_sup,14979.98937,TRUE,14979.12812,FALSE,14973.75142,TRUE,14970.4508,TRUE,-1027.29111,TRUE,-1031.700281,TRUE,-1043.405288,TRUE,-1040.859056,TRUE,2,,-1043.405288,-1040.859056,-2.546231541,28.00,,Log_Log,
millet,p_onemonth,13174.92206,FALSE,13176.86868,FALSE,13168.23162,TRUE,13174.41164,FALSE,-866.6672973,FALSE,-865.4785847,FALSE,-871.7892803,TRUE,-866.9235655,FALSE,2,,-871.7892803,-866.9235655,-4.865714795,8.78,,Log_3,
maize,p_sow,26937.37688,TRUE,26888.96223,TRUE,26890.80645,FALSE,26900.73135,TRUE,-4011.69787,TRUE,-4025.367098,TRUE,-4023.410391,FALSE,-4004.248719,TRUE,2,,-4025.367098,-4011.69787,-13.66922762,0.11,,Log_2,
maize,p_grow,27012.23533,FALSE,27013.74079,FALSE,27015.47614,FALSE,27013.18182,FALSE,-4351.875201,TRUE,-4374.435109,TRUE,-4373.980972,FALSE,-4339.839698,FALSE,2,,-4374.435109,-4351.875201,-22.55990843,0.00,,Log_2,
maize,p_harv,28821.88272,TRUE,28816.71286,TRUE,28639.85848,TRUE,28697.01266,TRUE,-4415.387458,TRUE,-4422.112591,TRUE,-4704.934252,TRUE,-4670.481276,TRUE,2,,-4704.934252,-4670.481276,-34.45297641,0.00,,Log_3,
maize,p_sup,32174.02206,TRUE,32152.79793,TRUE,32151.15846,FALSE,32178.44145,TRUE,-4863.958897,TRUE,-4890.478457,TRUE,-4902.694082,FALSE,-4859.159875,TRUE,2,,-4902.694082,-4890.478457,-12.21562499,0.22,,NA,
maize,p_onemonth,33927.95001,FALSE,33929.38756,FALSE,33918.91251,TRUE,33927.14606,TRUE,-4944.459941,FALSE,-4949.932877,FALSE,-4963.411857,TRUE,-4942.702508,FALSE,2,,-4963.411857,-4949.932877,-13.47897965,0.12,,Log_3,
