"","Grain","Time Period","Linear_AIC","Linear_Pvals","2_AIC","2_Pvals","3_AIC","3_Pvals","Log_AIC","Log_Pvals","Log_Linear_AIC","Log_Linear_Pvals","Log_2_AIC","Log_2_Pvals","Log_3_AIC","Log_3_Pvals","Log_Log_AIC","Log_Log_Pvals","rep(buf, nrow(final))"
"26","maize","p_sow","15971.4641591866","TRUE","15923.4577627182","TRUE","15917.7684991984","FALSE","15955.5296542899","TRUE","-3686.13469254984","TRUE","-3722.46809373953","TRUE","-3722.30274518404","FALSE","-3676.04346261337","TRUE",1
"27","maize","p_grow","15785.6332609977","TRUE","15770.0295512998","TRUE","15762.028269694","TRUE","15795.0316305716","TRUE","-3792.88965847701","FALSE","-3792.99534459542","FALSE","-3811.6650361096","TRUE","-3792.40201157067","FALSE",1
"28","maize","p_harv","17474.1727516639","FALSE","17470.3541110435","TRUE","17471.1985682291","FALSE","17471.3385958622","TRUE","-4008.11264161838","TRUE","-4006.74661038709","FALSE","-4005.72985811476","FALSE","-4006.94541966657","FALSE",1
"29","maize","p_sup","19717.5056363034","TRUE","19717.4897056313","FALSE","19699.4878142816","TRUE","19741.3372998069","TRUE","-4499.40045650386","TRUE","-4498.68404273527","FALSE","-4502.03468956912","TRUE","-4460.78367974722","FALSE",1
"30","maize","p_onemonth","19386.032100482","TRUE","19387.9274190013","FALSE","19389.5165901585","FALSE","19398.1312725825","FALSE","-4400.72946262557","TRUE","-4406.97532904409","TRUE","-4406.34963556423","FALSE","-4391.86495312559","FALSE",1
"31","sorghum","p_sow","5134.19925980376","TRUE","5135.79349371755","FALSE","5135.79349371755","FALSE","5134.44314083974","TRUE","-629.400568248497","TRUE","-629.752212182791","FALSE","-629.752212182791","FALSE","-631.121118249102","TRUE",2
"32","sorghum","p_grow","4631.92800901754","TRUE","4631.92800901752",NA,"4631.92800901739","FALSE","4631.92800901754","TRUE","-505.736901567958","TRUE","-505.736901567981",NA,"-505.736901568176","FALSE","-505.736901567954","TRUE",2
"33","sorghum","p_harv","4004.39358463797","TRUE","4004.39358463797",NA,"4004.39358463797",NA,"4004.39358463797","TRUE","-346.200668348068","FALSE","-346.200668348066","FALSE","-346.200668348068","FALSE","-346.200668348067","FALSE",2
"34","sorghum","p_sup","5208.73353572499","TRUE","5207.49092569476","FALSE","5197.37098307313","TRUE","5223.70052518083","TRUE","-427.493459913823","TRUE","-468.326116456131","TRUE","-466.657401070395","FALSE","-510.072351695956","TRUE",2
"35","sorghum","p_onemonth","5146.07370519873","TRUE","5147.89527781719","FALSE","5144.59974374751","FALSE","5154.91094781595","TRUE","-505.397655836238","TRUE","-515.971324250928","FALSE","-516.087696172282","FALSE","-459.772307381786","TRUE",2
"36","millet","p_sow","4607.90887110624","TRUE","4609.20981974707","FALSE","4610.27435575727","FALSE","4610.76809120155","TRUE","-1074.53835262695","TRUE","-1072.93806211532","FALSE","-1071.3631196039","FALSE","-1068.55125998883","FALSE",2
"37","millet","p_grow","6745.95041535691","FALSE","6737.54378821982","TRUE","6716.00074304727","TRUE","6746.02332783297","FALSE","-1370.39720720462","FALSE","-1369.63036340407","FALSE","-1367.78745177368","FALSE","-1370.26961177538","FALSE",2
"38","millet","p_harv","6374.82442861018","FALSE","6374.88966089767","FALSE","6371.25922606607","TRUE","6374.58162230677","FALSE","-1445.11682088001","FALSE","-1447.65253170204","FALSE","-1446.6406305381","FALSE","-1446.10432639867","FALSE",2
"39","millet","p_sup","7501.41641163773","TRUE","7461.49418565077","TRUE","7457.24287182001","TRUE","7471.71540190827","TRUE","-1224.9357455305","TRUE","-1268.78496576847","TRUE","-1276.50783150035","TRUE","-1251.94734187316","TRUE",2
"40","millet","p_onemonth","7333.02627517427","FALSE","7334.8416379245","FALSE","7325.58187771196","TRUE","7323.33433100792","TRUE","-1238.74920857366","TRUE","-1238.62095657756","FALSE","-1242.61912831919","TRUE","-1233.98013758601","TRUE",2
"41","maize","p_sow","15953.5064351731","TRUE","15925.3067601319","TRUE","15916.4810455797","FALSE","15946.505102874","TRUE","-3701.33493044203","TRUE","-3715.83460702431","TRUE","-3715.8281948879","FALSE","-3685.48179325657","TRUE",2
"42","maize","p_grow","15807.7214593964","TRUE","15789.5453047602","TRUE","15789.2519396374","FALSE","15813.8251983934","TRUE","-3790.57206081153","FALSE","-3789.12103408521","FALSE","-3787.30396461642","FALSE","-3790.69606709265","FALSE",2
"43","maize","p_harv","17469.2271292709","TRUE","17468.4047148253","FALSE","17469.7552965194","FALSE","17467.6965852072","TRUE","-4007.91599007784","TRUE","-4005.95346006959","FALSE","-4005.05640677062","FALSE","-4007.19710118467","TRUE",2
"44","maize","p_sup","19727.6474030395","TRUE","19726.894656693","FALSE","19728.8839118177","FALSE","19739.3084385801","TRUE","-4488.70627386654","TRUE","-4487.24306099879","FALSE","-4485.82823177287","FALSE","-4461.93530629675","FALSE",2
"45","maize","p_onemonth","19399.2877105729","FALSE","19400.883695797","FALSE","19401.3033795225","FALSE","19393.4787173005","TRUE","-4393.3064319563","FALSE","-4398.42979526455","TRUE","-4397.07856208255","FALSE","-4393.18286197635","FALSE",2
