country,code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guinea,324,  3 013,  3 054,  3 096,  3 138,  3 183,  3 230,  3 278,  3 330,  3 383,  3 438,  3 494,  3 552,  3 611,  3 673,  3 736,  3 802,  3 870,  3 941,  4 013,  4 085,  4 155,  4 223,  4 291,  4 357,  4 424,  4 491,  4 559,  4 629,  4 702,  4 782,  4 871,  4 970,  5 077,  5 195,  5 326,  5 471,  5 629,  5 801,  5 982,  6 167,  6 352,  6 535,  6 716,  6 897,  7 081,  7 270,  7 464,  7 662,  7 861,  8 055,  8 241,  8 417,  8 586,  8 753,  8 926,  9 110,  9 307,  9 518,  9 739,  9 964,  10 192,  10 420,  10 652,  10 893,  11 151,  11 432,  11 738,  12 068,  12 414,  12 771,  13 133
Guinea-Bissau,624,   535,   544,   553,   560,   568,   576,   584,   593,   601,   609,   616,   623,   629,   635,   642,   650,   659,   669,   680,   692,   705,   718,   733,   746,   758,   766,   770,   772,   772,   775,   782,   794,   810,   830,   851,   872,   893,   913,   933,   954,   975,   998,  1 020,  1 043,  1 066,  1 089,  1 111,  1 133,  1 154,  1 177,  1 201,  1 227,  1 254,  1 283,  1 313,  1 345,  1 378,  1 412,  1 447,  1 484,  1 523,  1 563,  1 605,  1 648,  1 692,  1 737,  1 782,  1 828,  1 874,  1 921,  1 968
Liberia,430,   930,   944,   959,   975,   993,  1 011,  1 031,  1 052,  1 073,  1 096,  1 119,  1 142,  1 167,  1 192,  1 218,  1 245,  1 273,  1 303,  1 334,  1 367,  1 401,  1 437,  1 475,  1 514,  1 556,  1 600,  1 646,  1 692,  1 741,  1 794,  1 853,  1 919,  1 989,  2 057,  2 112,  2 146,  2 158,  2 153,  2 134,  2 106,  2 076,  2 040,  2 002,  1 977,  1 986,  2 045,  2 160,  2 326,  2 517,  2 700,  2 848,  2 954,  3 025,  3 077,  3 136,  3 218,  3 329,  3 462,  3 608,  3 754,  3 891,  4 017,  4 136,  4 248,  4 360,  4 472,  4 587,  4 702,  4 819,  4 937,  5 058
Mali,466,  4 708,  4 759,  4 811,  4 865,  4 920,  4 975,  5 032,  5 090,  5 147,  5 205,  5 264,  5 322,  5 381,  5 442,  5 504,  5 568,  5 636,  5 706,  5 781,  5 861,  5 949,  6 045,  6 147,  6 256,  6 368,  6 482,  6 597,  6 712,  6 831,  6 956,  7 090,  7 235,  7 389,  7 545,  7 695,  7 832,  7 953,  8 062,  8 172,  8 297,  8 450,  8 636,  8 850,  9 087,  9 335,  9 586,  9 838,  10 094,  10 361,  10 643,  10 946,  11 272,  11 617,  11 983,  12 369,  12 776,  13 203,  13 651,  14 114,  14 581,  15 049,  15 515,  15 979,  16 450,  16 934,  17 439,  17 965,  18 512,  19 078,  19 658,  20 251
Mauritania,478,   651,   667,   683,   700,   719,   738,   759,   780,   803,   826,   850,   876,   902,   929,   957,   986,  1 016,  1 047,  1 080,  1 113,  1 147,  1 182,  1 217,  1 254,  1 292,  1 331,  1 370,  1 411,  1 453,  1 496,  1 541,  1 586,  1 634,  1 682,  1 731,  1 780,  1 830,  1 880,  1 930,  1 982,  2 034,  2 088,  2 143,  2 199,  2 256,  2 314,  2 373,  2 434,  2 496,  2 562,  2 630,  2 702,  2 778,  2 857,  2 939,  3 024,  3 112,  3 203,  3 296,  3 393,  3 494,  3 599,  3 707,  3 817,  3 931,  4 046,  4 164,  4 283,  4 403,  4 526,  4 650
Niger,562,  2 560,  2 638,  2 717,  2 796,  2 875,  2 956,  3 037,  3 120,  3 206,  3 296,  3 389,  3 486,  3 588,  3 694,  3 803,  3 914,  4 028,  4 145,  4 264,  4 386,  4 511,  4 638,  4 768,  4 902,  5 041,  5 185,  5 335,  5 491,  5 653,  5 819,  5 989,  6 164,  6 344,  6 529,  6 719,  6 916,  7 119,  7 329,  7 548,  7 780,  8 027,  8 289,  8 567,  8 860,  9 168,  9 490,  9 827,  10 178,  10 546,  10 930,  11 332,  11 751,  12 190,  12 648,  13 126,  13 624,  14 144,  14 685,  15 251,  15 843,  16 464,  17 115,  17 795,  18 504,  19 240,  20 002,  20 789,  21 602,  22 443,  23 311,  24 207
Nigeria,566,  37 860,  38 424,  39 035,  39 686,  40 371,  41 086,  41 831,  42 605,  43 412,  44 255,  45 138,  46 064,  47 030,  48 033,  49 067,  50 128,  51 218,  52 342,  53 506,  54 717,  55 982,  57 297,  58 666,  60 115,  61 677,  63 374,  65 221,  67 203,  69 272,  71 361,  73 424,  75 441,  77 428,  79 415,  81 449,  83 563,  85 766,  88 048,  90 395,  92 788,  95 212,  97 668,  100 162,  102 701,  105 294,  107 948,  110 669,  113 458,  116 320,  119 260,  122 284,  125 394,  128 596,  131 901,  135 320,  138 865,  142 538,  146 340,  150 270,  154 325,  158 503,  162 805,  167 229,  171 766,  176 405,  181 137,  185 960,  190 873,  195 875,  200 964,  206 140
Saint Helena,654,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   7,   7,   7,   7,   7,   7,   7,   7,   7,   7,   7,   7,   7,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   6,   5,   5,   5,   5,   5,   5,   5,   5,   5,   6,   6,   6,   6,   6,   6,   6,   6
Senegal,686,  2 487,  2 545,  2 607,  2 671,  2 738,  2 808,  2 882,  2 958,  3 038,  3 121,  3 207,  3 295,  3 387,  3 482,  3 580,  3 683,  3 789,  3 900,  4 014,  4 133,  4 258,  4 388,  4 523,  4 661,  4 797,  4 930,  5 057,  5 182,  5 307,  5 439,  5 583,  5 740,  5 910,  6 090,  6 277,  6 471,  6 671,  6 876,  7 087,  7 304,  7 526,  7 755,  7 990,  8 227,  8 461,  8 690,  8 913,  9 131,  9 348,  9 569,  9 798,  10 036,  10 284,  10 541,  10 810,  11 090,  11 382,  11 687,  12 005,  12 335,  12 678,  13 034,  13 402,  13 782,  14 175,  14 578,  14 994,  15 419,  15 854,  16 296,  16 744
Sierra Leone,694,  2 041,  2 064,  2 088,  2 113,  2 139,  2 166,  2 194,  2 223,  2 253,  2 284,  2 318,  2 352,  2 389,  2 427,  2 467,  2 508,  2 552,  2 597,  2 644,  2 693,  2 745,  2 799,  2 855,  2 913,  2 974,  3 037,  3 103,  3 171,  3 241,  3 314,  3 388,  3 464,  3 540,  3 620,  3 708,  3 805,  3 917,  4 038,  4 157,  4 254,  4 320,  4 349,  4 348,  4 329,  4 310,  4 304,  4 313,  4 335,  4 381,  4 462,  4 585,  4 754,  4 966,  5 201,  5 434,  5 646,  5 829,  5 990,  6 134,  6 273,  6 416,  6 563,  6 713,  6 864,  7 017,  7 172,  7 329,  7 488,  7 650,  7 813,  7 977
Togo,768,  1 395,  1 425,  1 442,  1 452,  1 462,  1 474,  1 491,  1 512,  1 536,  1 560,  1 581,  1 598,  1 613,  1 632,  1 662,  1 709,  1 774,  1 855,  1 946,  2 035,  2 116,  2 186,  2 248,  2 303,  2 357,  2 410,  2 464,  2 518,  2 576,  2 643,  2 721,  2 812,  2 916,  3 027,  3 141,  3 253,  3 363,  3 472,  3 577,  3 679,  3 774,  3 863,  3 946,  4 029,  4 121,  4 226,  4 349,  4 486,  4 632,  4 780,  4 924,  5 063,  5 197,  5 331,  5 468,  5 612,  5 763,  5 920,  6 083,  6 251,  6 422,  6 596,  6 774,  6 955,  7 138,  7 323,  7 510,  7 698,  7 889,  8 082,  8 279
Algeria,12,  8 872,  9 023,  9 186,  9 364,  9 560,  9 774,  10 006,  10 254,  10 514,  10 783,  11 058,  11 336,  11 620,  11 913,  12 222,  12 551,  12 903,  13 275,  13 664,  14 062,  14 465,  14 872,  15 286,  15 710,  16 149,  16 608,  17 086,  17 583,  18 102,  18 648,  19 222,  19 824,  20 453,  21 102,  21 764,  22 432,  23 102,  23 774,  24 443,  25 106,  25 759,  26 400,  27 028,  27 636,  28 214,  28 758,  29 266,  29 743,  30 193,  30 623,  31 042,  31 452,  31 855,  32 264,  32 692,  33 150,  33 641,  34 167,  34 731,  35 334,  35 977,  36 661,  37 384,  38 140,  38 924,  39 728,  40 551,  41 389,  42 228,  43 053,  43 851
Egypt,818,  20 452,  20 949,  21 474,  22 028,  22 612,  23 223,  23 862,  24 525,  25 209,  25 913,  26 633,  27 366,  28 112,  28 871,  29 645,  30 433,  31 238,  32 057,  32 882,  33 703,  34 514,  35 312,  36 103,  36 897,  37 708,  38 549,  39 423,  40 330,  41 276,  42 267,  43 309,  44 400,  45 539,  46 728,  47 969,  49 259,  50 602,  51 992,  53 399,  54 789,  56 134,  57 425,  58 667,  59 881,  61 096,  62 334,  63 602,  64 892,  66 200,  67 516,  68 832,  70 153,  71 485,  72 826,  74 172,  75 524,  76 874,  78 232,  79 636,  81 135,  82 761,  84 529,  86 422,  88 405,  90 425,  92 443,  94 447,  96 443,  98 424,  100 388,  102 334
Libya,434,  1 125,  1 143,  1 164,  1 188,  1 215,  1 245,  1 279,  1 317,  1 358,  1 402,  1 448,  1 498,  1 551,  1 607,  1 668,  1 733,  1 804,  1 879,  1 959,  2 044,  2 134,  2 228,  2 327,  2 431,  2 537,  2 645,  2 755,  2 866,  2 979,  3 097,  3 219,  3 348,  3 480,  3 615,  3 747,  3 874,  3 995,  4 110,  4 220,  4 329,  4 437,  4 544,  4 651,  4 755,  4 855,  4 949,  5 036,  5 118,  5 197,  5 276,  5 358,  5 443,  5 531,  5 621,  5 710,  5 799,  5 887,  5 975,  6 059,  6 134,  6 198,  6 247,  6 286,  6 320,  6 362,  6 418,  6 492,  6 581,  6 679,  6 777,  6 871
Morocco,504,  8 986,  9 243,  9 529,  9 837,  10 163,  10 503,  10 853,  11 212,  11 578,  11 951,  12 329,  12 711,  13 095,  13 478,  13 858,  14 230,  14 595,  14 954,  15 307,  15 657,  16 005,  16 351,  16 697,  17 049,  17 413,  17 796,  18 199,  18 620,  19 060,  19 517,  19 990,  20 480,  20 984,  21 495,  22 003,  22 499,  22 980,  23 447,  23 904,  24 356,  24 807,  25 260,  25 711,  26 155,  26 584,  26 994,  27 383,  27 755,  28 110,  28 456,  28 794,  29 126,  29 455,  29 783,  30 115,  30 456,  30 805,  31 164,  31 537,  31 929,  32 343,  32 782,  33 242,  33 716,  34 192,  34 664,  35 126,  35 581,  36 029,  36 472,  36 911
Sudan,729,  5 734,  5 885,  6 041,  6 204,  6 373,  6 549,  6 732,  6 923,  7 122,  7 329,  7 544,  7 769,  8 004,  8 249,  8 504,  8 770,  9 048,  9 338,  9 640,  9 954,  10 282,  10 621,  10 975,  11 344,  11 733,  12 144,  12 578,  13 035,  13 510,  14 002,  14 507,  15 027,  15 562,  16 108,  16 658,  17 210,  17 757,  18 303,  18 868,  19 477,  20 148,  20 891,  21 696,  22 528,  23 338,  24 095,  24 782,  25 414,  26 016,  26 627,  27 275,  27 971,  28 705,  29 461,  30 214,  30 950,  31 662,  32 361,  33 061,  33 784,  34 545,  35 350,  36 194,  37 073,  37 978,  38 903,  39 847,  40 813,  41 802,  42 813,  43 849
Tunisia,788,  3 605,  3 696,  3 773,  3 838,  3 894,  3 944,  3 989,  4 033,  4 077,  4 125,  4 178,  4 238,  4 305,  4 380,  4 461,  4 548,  4 641,  4 741,  4 845,  4 953,  5 064,  5 176,  5 291,  5 409,  5 531,  5 657,  5 786,  5 920,  6 060,  6 211,  6 374,  6 551,  6 741,  6 937,  7 135,  7 330,  7 518,  7 701,  7 880,  8 060,  8 242,  8 428,  8 614,  8 796,  8 968,  9 125,  9 267,  9 395,  9 510,  9 614,  9 708,  9 794,  9 871,  9 945,  10 022,  10 107,  10 201,  10 305,  10 414,  10 526,  10 635,  10 742,  10 847,  10 953,  11 063,  11 180,  11 304,  11 433,  11 565,  11 695,  11 819
Western Sahara,732,   14,   16,   18,   19,   20,   21,   23,   25,   27,   30,   33,   36,   39,   42,   46,   51,   57,   63,   69,   74,   77,   76,   73,   70,   70,   75,   86,   101,   119,   137,   151,   161,   168,   173,   177,   182,   189,   195,   203,   210,   217,   224,   232,   239,   247,   256,   264,   273,   283,   297,   314,   337,   363,   391,   417,   438,   452,   462,   469,   474,   480,   488,   496,   505,   515,   526,   539,   553,   567,   582,   597
